title,author,isbn,available
Classical Mythology,Mark P. O. Morford,195153448,true
Clara Callan,Richard Bruce Wright,2005018,true
Decision in Normandy,Carlo D'Este,60973129,true
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,374157065,true
The Mummies of Urumchi,E. J. W. Barber,393045218,true
The Kitchen God's Wife,Amy Tan,399135782,true
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,425176428,true
PLEADING GUILTY,Scott Turow,671870432,true
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,679425608,true
Where You'll Find Me: And Other Stories,Ann Beattie,074322678X,true
Nights Below Station Street,David Adams Richards,771074670,true
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,080652121X,true
The Middle Stories,Sheila Heti,887841740,true
Jane Doe,R. J. Kaiser,1552041778,true
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1558746218,true
The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1567407781,true
More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1575663937,true
Goodbye to the Buttermilk Sky,Julia Oliver,1881320189,true
The Testament,John Grisham,440234743,true
Beloved (Plume Contemporary Fiction),Toni Morrison,452264464,true
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,609804618,true
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,1841721522,true
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,1879384493,true
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,61076031,true
Tell Me This Isn't Happening,Robynn Clairday,439095026,true
Flood : Mississippi 1927,Kathleen Duey,689821166,true
Wild Animus,Rich Shapero,971880107,true
Airframe,Michael Crichton,345402871,true
Timeline,MICHAEL CRICHTON,345417623,true
OUT OF THE SILENT PLANET,C.S. Lewis,684823802,true
Prague : A Novel,ARTHUR PHILLIPS,375759778,true
Chocolate Jesus,Stephan Jaramillo,425163091,true
Wie Barney es sieht.,Mordecai Richler,3404921038,true
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,3442353866,true
Sturmzeit. Roman.,Charlotte Link,3442410665,true
Tage der Unschuld.,Richard North Patterson,3442446937,true
Lying Awake,Mark Salzman,375406328,true
To Kill a Mockingbird,Harper Lee,446310786,true
Seabiscuit: An American Legend,LAURA HILLENBRAND,449005615,true
Pigs in Heaven,Barbara Kingsolver,60168013,true
Miss Zukas and the Raven's Dance,Jo Dereske,038078243X,true
Pride and Prejudice,Jane Austen,055321215X,true
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,067176537X,true
Downtown,Anne Rivers Siddons,61099686,true
Icebound,Dean R. Koontz,553582909,true
I'll Be Seeing You,Mary Higgins Clark,671888587,true
From the Corner of His Eye,Dean Koontz,553582747,true
Isle of Dogs,Patricia Cornwell,425182908,true
Purity in Death,J.D. Robb,042518630X,true
This Year It Will Be Different: And Other Stories,Maeve Binchy,440223571,true
Proxies,Laura J. Mixon,812523873,true
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,842342702,true
The Street Lawyer,JOHN GRISHAM,440225701,true
"Love, Medicine and Miracles",M.D. Bernie S. Siegel,60914068,true
All the King's Men,Robert Penn Warren,156047624,true
Pacific Northwest,Hans Johannes Hoefer,245542957,true
A Soldier of the Great War,Mark Helprin,380715899,true
Getting Well Again,O. Carol Simonton Md,553280333,true
Northwest Wines and Wineries,Chuck Hill,961769947,true
An Atmosphere of Eternity: Stories of India,David Iglehart,964778319,true
LONESOME DOVE,Larry McMurtry,671623249,true
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,679810307,true
